Country Name,Country Code,Series Name,Series Code,1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015]
Albania,ALB,Human capital (constant 2018 US$),NW.HCA.TO,44900000000.00,43600000000.00,54400000000.00,68100000000.00,73700000000.00
Albania,ALB,Human capital per capita (constant 2018 US$),NW.HCA.PC,14072.79,14118.13,18072.30,23362.86,25593.71
Albania,ALB,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,3468.86,3424.01,2222.12,2889.15,2987.55
Albania,ALB,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,6507.93,6872.02,11689.35,15789.92,17307.01
Albania,ALB,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,4893.01,4695.07,2886.74,3613.61,3767.63
Albania,ALB,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,9179.78,9423.06,15185.56,19749.26,21826.08
Albania,ALB,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,1424.15,1271.06,664.62,724.46,780.08
Albania,ALB,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,2671.85,2551.04,3496.21,3959.34,4519.07
Albania,ALB,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,11100000000.00,10600000000.00,6690000000.00,8420000000.00,8610000000.00
Albania,ALB,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,20700000000.00,21200000000.00,35200000000.00,46000000000.00,49900000000.00
Albania,ALB,"Human capital, female (constant 2018 US$)",NW.HCA.FEMA.TO,15600000000.00,14500000000.00,8690000000.00,10500000000.00,10900000000.00
Albania,ALB,"Human capital, male (constant 2018 US$)",NW.HCA.MALE.TO,29300000000.00,29100000000.00,45700000000.00,57500000000.00,62900000000.00
Albania,ALB,"Human capital, self-employed female (constant 2018 US$)",NW.HCA.FSEM.TO,4540000000.00,3930000000.00,2000000000.00,2110000000.00,2250000000.00
Albania,ALB,"Human capital, self-employed male (constant 2018 US$)",NW.HCA.MSEM.TO,8520000000.00,7880000000.00,10500000000.00,11500000000.00,13000000000.00
Albania,ALB,Natural capital (constant 2018 US$),NW.NCA.TO,21400000000.00,15200000000.00,15700000000.00,17300000000.00,25200000000.00
Albania,ALB,Natural capital per capita (constant 2018 US$),NW.NCA.PC,6714.65,4930.37,5221.30,5955.46,8758.23
Albania,ALB,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,4493.15,3723.06,3816.30,3765.43,4876.62
Albania,ALB,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,2162.78,1487.09,1268.67,1419.14,2157.08
Albania,ALB,"Natural capital per capita, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.PC,2330.38,2235.97,2547.62,2346.30,2719.54
Albania,ALB,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,4.29,13.74,12.24,1.16,2.18
Albania,ALB,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,555.61,723.56,817.64,931.07,964.40
Albania,ALB,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,735.11,65.69,41.15,65.27,204.64
Albania,ALB,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,863.92,374.01,495.30,900.02,1762.91
Albania,ALB,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,0.00,0.00,0.00,0.00,0.00
Albania,ALB,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,918.31,374.01,505.66,1090.84,1880.42
Albania,ALB,"Natural capital per capita, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.PC,18.99,0.33,1.99,4.24,1.61
Albania,ALB,"Natural capital per capita, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.PC,34.09,6.30,11.70,17.32,14.06
Albania,ALB,"Natural capital per capita, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.PC,54.40,0.00,10.37,190.82,117.51
Albania,ALB,"Natural capital per capita, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.PC,810.84,367.39,481.60,878.47,1747.24
Albania,ALB,"Natural capital per capita, protected areas (constant 2018 US$)",NW.NCA.PRAR.PC,8.18,30.31,28.30,101.68,829.97
Albania,ALB,"Natural capital per capita, renewable (constant 2018 US$)",NW.NCA.RNEW.PC,5796.34,4556.36,4715.63,4864.62,6877.81
Albania,ALB,"Natural capital, agricultural land (constant 2018 US$)",NW.NCA.AGRI.TO,14300000000.00,11500000000.00,11500000000.00,11000000000.00,14000000000.00
Albania,ALB,"Natural capital, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.TO,6890000000.00,4590000000.00,3820000000.00,4130000000.00,6210000000.00
Albania,ALB,"Natural capital, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.TO,7430000000.00,6910000000.00,7670000000.00,6830000000.00,7830000000.00
Albania,ALB,"Natural capital, fisheries (constant 2018 US$)",NW.NCA.FISH.TO,13675370.00,42440242.00,36874189.00,3393421.00,6277172.00
Albania,ALB,"Natural capital, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.TO,1770000000.00,2240000000.00,2460000000.00,2710000000.00,2780000000.00
Albania,ALB,"Natural capital, forests: timber (constant 2018 US$)",NW.NCA.FTIM.TO,2340000000.00,203000000.00,124000000.00,190000000.00,590000000.00
Albania,ALB,"Natural capital, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.TO,2750000000.00,1160000000.00,1490000000.00,2620000000.00,5080000000.00
Albania,ALB,"Natural capital, mangroves (constant 2018 US$)",NW.NCA.MANG.TO,0.00,0.00,0.00,0.00,0.00
Albania,ALB,"Natural capital, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.TO,2930000000.00,1160000000.00,1520000000.00,3180000000.00,5420000000.00
Albania,ALB,"Natural capital, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.TO,60528949.00,1015142.00,5993681.00,12344762.00,4643085.00
Albania,ALB,"Natural capital, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.TO,109000000.00,19447953.00,35244453.00,50452004.00,40497436.00
Albania,ALB,"Natural capital, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.TO,173000000.00,0.00,31216029.00,556000000.00,339000000.00
Albania,ALB,"Natural capital, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.TO,2580000000.00,1130000000.00,1450000000.00,2560000000.00,5030000000.00
Albania,ALB,"Natural capital, protected areas (constant 2018 US$)",NW.NCA.PRAR.TO,26072789.00,93634601.00,85224794.00,296000000.00,2390000000.00
Albania,ALB,"Natural capital, renewable (constant 2018 US$)",NW.NCA.RNEW.TO,18500000000.00,14100000000.00,14200000000.00,14200000000.00,19800000000.00
Albania,ALB,Net foreign assets (constant 2018 US$),NW.NFA.TO,-240000000.00,-1000000000.00,-1600000000.00,-4200000000.00,-5800000000.00
Albania,ALB,Net foreign assets per capita (constant 2018 US$),NW.NFA.PC,-74.37,-322.86,-540.23,-1446.86,-2011.63
Albania,ALB,Produced capital (constant 2018 US$),NW.PCA.TO,49500000000.00,50900000000.00,59000000000.00,71100000000.00,79700000000.00
Albania,ALB,Produced capital per capita (constant 2018 US$),NW.PCA.PC,15528.02,16489.18,19606.05,24401.29,27654.41
Albania,ALB,Total wealth (constant 2018 US$),NW.TOW.TO,116000000000.00,109000000000.00,128000000000.00,152000000000.00,173000000000.00
Albania,ALB,Total wealth per capita (constant 2018 US$),NW.TOW.PC,36241.08,35214.82,42359.41,52272.75,59994.72
Argentina,ARG,Human capital (constant 2018 US$),NW.HCA.TO,1380000000000.00,1840000000000.00,1410000000000.00,2420000000000.00,3220000000000.00
Argentina,ARG,Human capital per capita (constant 2018 US$),NW.HCA.PC,39581.50,49940.91,36285.85,59311.25,74558.34
Argentina,ARG,"Human capital per capita, employed female (constant 2018 US$)",NW.HCA.FEMP.PC,15331.55,21161.85,15261.12,24174.64,31462.81
Argentina,ARG,"Human capital per capita, employed male (constant 2018 US$)",NW.HCA.MEMP.PC,20762.16,25087.36,18926.64,31790.63,38328.76
Argentina,ARG,"Human capital per capita, female (constant 2018 US$)",NW.HCA.FEMA.PC,16813.06,22851.02,16197.69,25619.97,33611.73
Argentina,ARG,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,22768.44,27089.88,20088.16,33691.29,40946.62
Argentina,ARG,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,1481.51,1689.18,936.57,1445.32,2148.91
Argentina,ARG,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,2006.28,2002.52,1161.52,1900.66,2617.86
Argentina,ARG,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,534000000000.00,780000000000.00,594000000000.00,986000000000.00,1360000000000.00
Argentina,ARG,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,723000000000.00,925000000000.00,736000000000.00,1300000000000.00,1650000000000.00
Argentina,ARG,"Human capital, female (constant 2018 US$)",NW.HCA.FEMA.TO,586000000000.00,843000000000.00,630000000000.00,1040000000000.00,1450000000000.00
Argentina,ARG,"Human capital, male (constant 2018 US$)",NW.HCA.MALE.TO,793000000000.00,999000000000.00,781000000000.00,1370000000000.00,1770000000000.00
Argentina,ARG,"Human capital, self-employed female (constant 2018 US$)",NW.HCA.FSEM.TO,51600000000.00,62300000000.00,36400000000.00,59000000000.00,92700000000.00
Argentina,ARG,"Human capital, self-employed male (constant 2018 US$)",NW.HCA.MSEM.TO,69900000000.00,73800000000.00,45200000000.00,77500000000.00,113000000000.00
Argentina,ARG,Natural capital (constant 2018 US$),NW.NCA.TO,422000000000.00,439000000000.00,658000000000.00,699000000000.00,668000000000.00
Argentina,ARG,Natural capital per capita (constant 2018 US$),NW.NCA.PC,12119.75,11892.93,16927.74,17140.02,15489.59
Argentina,ARG,"Natural capital per capita, agricultural land (constant 2018 US$)",NW.NCA.AGRI.PC,5910.87,5809.16,9559.69,8817.76,8582.20
Argentina,ARG,"Natural capital per capita, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.PC,2842.65,3084.07,5400.51,5029.34,4328.61
